[2022-01-08T16:57:32.530Z] info Ruta no encontrada.
[2022-01-08T16:59:14.114Z] info Ruta no encontrada.
[2022-01-08T17:07:14.296Z] info Ruta no encontrada.
[2022-01-08T17:21:17.585Z] info Ruta no encontrada.
[2022-01-08T17:25:13.710Z] info Ruta no encontrada.
[2022-01-08T17:27:26.498Z] info Ruta no encontrada.
[2022-01-08T17:27:26.650Z] info Ruta no encontrada.
[2022-01-08T17:27:45.996Z] info Ruta no encontrada.
[2022-01-08T17:29:52.933Z] info Ruta no encontrada.
[2022-01-08T17:31:59.795Z] info Ruta no encontrada.
[2022-01-08T17:32:24.111Z] info Ruta no encontrada.
[2022-01-08T17:32:46.322Z] info Ruta no encontrada.
[2022-01-08T17:32:57.452Z] info Ruta no encontrada.
[2022-01-08T17:33:20.880Z] info Ruta no encontrada.
[2022-01-08T17:34:08.167Z] info Ruta no encontrada.
[2022-01-08T17:34:48.484Z] info Ruta no encontrada.
[2022-01-08T17:35:18.313Z] info Ruta no encontrada.
[2022-01-08T17:38:45.425Z] info Ruta no encontrada.
[2022-01-08T17:41:26.123Z] info [object Object]
[2022-01-23T23:51:20.892Z] info Ruta no encontrada.
[2022-01-23T23:51:57.339Z] info Ruta no encontrada.
[2022-01-25T01:39:47.973Z] info Ruta no encontrada.
[2022-01-25T01:40:59.098Z] info Ruta no encontrada.
[2022-11-02T23:14:00.865Z] info Ruta no encontrada.
[2022-11-02T23:14:10.807Z] info Ruta no encontrada.
[2022-11-02T23:16:32.190Z] info Ruta no encontrada.
[2022-11-02T23:21:23.185Z] info Ruta no encontrada.
[2022-11-02T23:21:56.892Z] info Ruta no encontrada.
[2022-11-02T23:28:50.870Z] info Ruta no encontrada.
[2022-11-02T23:28:55.737Z] info Ruta no encontrada.
[2022-11-03T19:30:53.022Z] info Ruta no encontrada.
[2022-11-03T20:32:48.276Z] info Ruta no encontrada.
[2022-11-03T20:36:17.482Z] info Ruta no encontrada.
[2022-12-20T01:55:40.299Z] info Configuracion - getMedicamento Terminado
[2022-12-20T01:55:40.303Z] info Configuracion - getExamen Iniciando
[2022-12-20T01:55:40.309Z] info Configuracion - getExamen Terminado
[2022-12-20T01:56:50.523Z] info Configuracion - getMedicamento Iniciando
[2022-12-20T01:56:50.529Z] info Configuracion - getExamen Iniciando
[2022-12-20T01:56:50.550Z] info Configuracion - getExamen Terminado
[2022-12-20T01:56:50.559Z] info Configuracion - getMedicamento Terminado
[2022-12-20T01:59:38.341Z] info Configuracion - getMedicamento Iniciando
[2022-12-20T01:59:38.345Z] info Configuracion - getExamen Iniciando
[2022-12-20T01:59:38.367Z] info Configuracion - getMedicamento Terminado
[2022-12-20T01:59:38.377Z] info Configuracion - getExamen Terminado
[2022-12-20T02:01:02.421Z] info Configuracion - getMedicamento Iniciando
[2022-12-20T02:01:02.423Z] info Configuracion - getExamen Iniciando
[2022-12-20T02:01:02.435Z] info Configuracion - getExamen Terminado
[2022-12-20T02:01:02.437Z] info Configuracion - getMedicamento Terminado
[2022-12-20T02:02:27.386Z] info Configuracion - getMedicamento Iniciando
[2022-12-20T02:02:27.387Z] info Configuracion - getExamen Iniciando
[2022-12-20T02:02:27.398Z] info Configuracion - getMedicamento Terminado
[2022-12-20T02:02:27.402Z] info Configuracion - getExamen Terminado
[2022-12-20T02:04:20.224Z] info Configuracion - getMedicamento Iniciando
[2022-12-20T02:04:20.227Z] info Configuracion - getExamen Iniciando
[2022-12-20T02:04:20.239Z] info Configuracion - getExamen Terminado
[2022-12-20T02:04:20.244Z] info Configuracion - getMedicamento Terminado
[2022-12-20T02:08:14.390Z] info Configuracion - getMedicamento Iniciando
[2022-12-20T02:08:14.405Z] info Configuracion - getExamen Iniciando
[2022-12-20T02:08:14.409Z] info Configuracion - getMedicamento Terminado
[2022-12-20T02:08:14.439Z] info Configuracion - getExamen Terminado
[2022-12-20T02:09:58.577Z] info Configuracion - getMedicamento Iniciando
[2022-12-20T02:09:58.584Z] info Configuracion - getExamen Iniciando
[2022-12-20T02:09:58.590Z] info Configuracion - getMedicamento Terminado
[2022-12-20T02:09:58.597Z] info Configuracion - getExamen Terminado
[2022-12-20T02:11:46.671Z] info Configuracion - getMedicamento Iniciando
[2022-12-20T02:11:46.677Z] info Configuracion - getExamen Iniciando
[2022-12-20T02:11:46.689Z] info Configuracion - getExamen Terminado
[2022-12-20T02:11:46.691Z] info Configuracion - getMedicamento Terminado
[2022-12-20T14:56:16.283Z] info Configuracion - getMedicamento Iniciando
[2022-12-20T14:56:16.288Z] info Configuracion - getExamen Iniciando
[2022-12-20T14:56:16.308Z] info Configuracion - getMedicamento Terminado
[2022-12-20T14:56:16.311Z] info Configuracion - getExamen Terminado
[2022-12-20T18:48:21.011Z] info Configuracion - getMedicamento Iniciando
[2022-12-20T18:48:21.018Z] info Configuracion - getExamen Iniciando
[2022-12-20T18:48:21.054Z] info Configuracion - getMedicamento Terminado
[2022-12-20T18:48:21.063Z] info Configuracion - getExamen Terminado
[2022-12-20T19:08:02.737Z] info Configuracion - getMedicamento Iniciando
[2022-12-20T19:08:02.748Z] info Configuracion - getExamen Iniciando
[2022-12-20T19:08:02.756Z] info Configuracion - getMedicamento Terminado
[2022-12-20T19:08:02.772Z] info Configuracion - getExamen Terminado
[2022-12-20T23:57:26.443Z] info Configuracion - getMedicamento Iniciando
[2022-12-20T23:57:26.448Z] info Configuracion - getExamen Iniciando
[2022-12-20T23:57:26.467Z] info Configuracion - getMedicamento Terminado
[2022-12-20T23:57:26.470Z] info Configuracion - getExamen Terminado
[2022-12-21T00:00:33.901Z] info Configuracion - getMedicamento Iniciando
[2022-12-21T00:00:33.906Z] info Configuracion - getExamen Iniciando
[2022-12-21T00:00:33.919Z] info Configuracion - getMedicamento Terminado
[2022-12-21T00:00:33.927Z] info Configuracion - getExamen Terminado
[2022-12-21T00:09:12.595Z] info Configuracion - getMedicamento Iniciando
[2022-12-21T00:09:12.598Z] info Configuracion - getExamen Iniciando
[2022-12-21T00:09:12.610Z] info Configuracion - getExamen Terminado
[2022-12-21T00:09:12.615Z] info Configuracion - getMedicamento Terminado
[2022-12-21T00:12:56.883Z] info Configuracion - getMedicamento Iniciando
[2022-12-21T00:12:56.885Z] info Configuracion - getExamen Iniciando
[2022-12-21T00:12:56.899Z] info Configuracion - getMedicamento Terminado
[2022-12-21T00:12:56.902Z] info Configuracion - getExamen Terminado
[2022-12-21T00:15:18.477Z] info Configuracion - getMedicamento Iniciando
[2022-12-21T00:15:18.482Z] info Configuracion - getExamen Iniciando
[2022-12-21T00:15:18.498Z] info Configuracion - getMedicamento Terminado
[2022-12-21T00:15:18.507Z] info Configuracion - getExamen Terminado
[2022-12-21T00:17:44.474Z] info Configuracion - getMedicamento Iniciando
[2022-12-21T00:17:44.486Z] info Configuracion - getMedicamento Terminado
[2022-12-21T00:17:44.495Z] info Configuracion - getExamen Iniciando
[2022-12-21T00:17:44.503Z] info Configuracion - getExamen Terminado
[2022-12-21T00:19:08.005Z] info Configuracion - getMedicamento Iniciando
[2022-12-21T00:19:08.020Z] info Configuracion - getExamen Iniciando
[2022-12-21T00:19:08.023Z] info Configuracion - getMedicamento Terminado
[2022-12-21T00:19:08.034Z] info Configuracion - getExamen Terminado
[2022-12-21T00:21:01.271Z] info Configuracion - getMedicamento Iniciando
[2022-12-21T00:21:01.273Z] info Configuracion - getExamen Iniciando
[2022-12-21T00:21:01.284Z] info Configuracion - getMedicamento Terminado
[2022-12-21T00:21:01.290Z] info Configuracion - getExamen Terminado
[2022-12-21T00:24:02.968Z] info Configuracion - getMedicamento Iniciando
[2022-12-21T00:24:02.975Z] info Configuracion - getExamen Iniciando
[2022-12-21T00:24:02.998Z] info Configuracion - getMedicamento Terminado
[2022-12-21T00:24:03.009Z] info Configuracion - getExamen Terminado
[2022-12-21T00:25:20.385Z] info Configuracion - getMedicamento Iniciando
[2022-12-21T00:25:20.387Z] info Configuracion - getExamen Iniciando
[2022-12-21T00:25:20.402Z] info Configuracion - getMedicamento Terminado
[2022-12-21T00:25:20.409Z] info Configuracion - getExamen Terminado
[2022-12-21T00:26:12.307Z] info Configuracion - getMedicamento Iniciando
[2022-12-21T00:26:12.314Z] info Configuracion - getExamen Iniciando
[2022-12-21T00:26:12.330Z] info Configuracion - getMedicamento Terminado
[2022-12-21T00:26:12.347Z] info Configuracion - getExamen Terminado
